path,file_name,category,role,allocation,salvage_value,in_scope,scan_status,run_status,root_cause
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/90 2019年到现在19倍的新策略.txt,90 2019年到现在19倍的新策略.txt,Y_研报深度解析复现,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/90 国债固收+.txt,90 国债固收+.txt,I_多资产_股债_全天候,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/90 大师策略——柯林·麦克连成长价值优势投资法.txt,90 大师策略——柯林·麦克连成长价值优势投资法.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/90 超稳+翻倍，贝塔值只有0.048的期指策略.txt,90 超稳+翻倍，贝塔值只有0.048的期指策略.txt,I_多资产_股债_全天候,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/91 ETF-T0动量策略，年化 18%，回撤3.31%.txt,91 ETF-T0动量策略，年化 18%，回撤3.31%.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/91 一个月轮动股票换仓，内日做T，相对高频交易.txt,91 一个月轮动股票换仓，内日做T，相对高频交易.txt,W_短线超短分钟级,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/91 欧奈尔 RPS选股战法回测b.txt,91 欧奈尔 RPS选股战法回测b.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/92 敢于直接实盘的—八仙过海V2.txt,92 敢于直接实盘的—八仙过海V2.txt,J_量化择时_指标_复现,A_辅助模块_择时或选股器,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/92 致敬市场--4 解析细节.txt,92 致敬市场--4 解析细节.txt,M_致敬市场研报系列,M_主策略_可独立alpha,05_增强位_主观特色,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 234板介入-2023年14倍-无未来.txt,93 234板介入-2023年14倍-无未来.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,93 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 北向Boll带_ETF组合宝付费策略.txt,93 北向Boll带_ETF组合宝付费策略.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/93 因子看板多因子模型---由量化课堂多因子模型修改.txt,93 因子看板多因子模型---由量化课堂多因子模型修改.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/94 别人“拿的住”的股票最赚钱.txt,94 别人“拿的住”的股票最赚钱.txt,W2_主观作业分享实盘,M_主策略_可独立alpha,05_增强位_主观特色,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/94 小资金短线策略.txt,94 小资金短线策略.txt,W_短线超短分钟级,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/94 布林线追龙头战法.txt,94 布林线追龙头战法.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/95 冲天炮最高板策略迭代.txt,95 冲天炮最高板策略迭代.txt,W_短线超短分钟级,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/95 学习贴《一个完整的-深度学习-神经网络pipeline》.txt,95 学习贴《一个完整的-深度学习-神经网络pipeline》.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
